id,title,updated,link_href,num_of_reports,time_utc,time_utc_at_epicenter,location_coordinates,depth_string,depth_km,depth_mi,georss_point,georss_elev,cat_age,cat_mag,cat_mag_shaking,cat_mag_damage,cat_contributor,cat_author
urn:earthquake-usgs-gov:ak:0239k1rwbb,"M 2.6 - 56 km ESE of Denali Park, Alaska",2023-07-27T03:52:57.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/ak0239k1rwbb,,2023-07-27 03:34:58 UTC,2023-07-27 03:34:58 UTC,63.578°N 147.828°W,7.50 km (4.66 mi),7.50,4.66,63.5776 -147.8275,-7500,Past Hour,Magnitude 2,Weak,None,ak,ak
urn:earthquake-usgs-gov:us:6000kvts,"M 5.5 - 81 km SSE of Sola, Vanuatu",2023-07-27T03:29:18.888Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvts,,2023-07-27 01:25:51 UTC,2023-07-27 01:25:51 UTC,14.559°S 167.844°E,10.00 km (6.21 mi),10.00,6.21,-14.5586 167.844,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kvtn,"M 5.0 - 118 km SE of Sola, Vanuatu",2023-07-27T00:59:20.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvtn,,2023-07-27 00:41:12 UTC,2023-07-27 00:41:12 UTC,14.669°S 168.293°E,10.00 km (6.21 mi),10.00,6.21,-14.6691 168.2928,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kvtk,"M 5.5 - 102 km ESE of Hihifo, Tonga",2023-07-27T03:19:44.352Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvtk,,2023-07-27 00:28:58 UTC,2023-07-27 00:28:58 UTC,16.255°S 172.886°W,10.00 km (6.21 mi),10.00,6.21,-16.2553 -172.8859,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kvtf,"M 4.8 - Izu Islands, Japan region",2023-07-26T23:52:12.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvtf,,2023-07-26 23:38:09 UTC,2023-07-26 23:38:09 UTC,31.669°N 138.227°E,354.72 km (220.41 mi),354.72,220.41,31.6689 138.2267,-354719,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:nc:73917151,"M 2.7 - 18 km SSW of Stony Gorge Reservoir, CA",2023-07-27T02:23:14.310Z,https://earthquake.usgs.gov/earthquakes/eventpage/nc73917151,2,2023-07-26 23:30:35 UTC,2023-07-26 23:30:35 UTC,39.438°N 122.633°W,11.76 km (7.31 mi),11.76,7.31,39.4384995 -122.6333313,-11760,Past Day,Magnitude 2,Weak,None,nc,nc
urn:earthquake-usgs-gov:pr:71419328,"M 3.2 - 36 km ENE of Cruz Bay, U.S. Virgin Islands",2023-07-26T23:37:40.200Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr71419328,,2023-07-26 23:17:00 UTC,2023-07-26 23:17:00 UTC,18.459°N 64.477°W,73.84 km (45.88 mi),73.84,45.88,18.4588333333333 -64.4765,-73840,Past Day,Magnitude 3,Weak,None,pr,pr
urn:earthquake-usgs-gov:us:6000kvt9,"M 5.1 - 82 km SSE of Sola, Vanuatu",2023-07-26T23:31:10.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvt9,,2023-07-26 23:13:08 UTC,2023-07-26 23:13:08 UTC,14.542°S 167.906°E,10.44 km (6.49 mi),10.44,6.49,-14.5419 167.9056,-10442,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kvsp,"M 4.6 - 81 km W of Tomamae, Japan",2023-07-26T22:52:53.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvsp,,2023-07-26 21:31:30 UTC,2023-07-26 21:31:30 UTC,44.335°N 140.629°E,230.51 km (143.23 mi),230.51,143.23,44.3346 140.6292,-230513,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:ci:39623042,"M 2.5 - 19km W of Searles Valley, CA",2023-07-26T23:04:42.770Z,https://earthquake.usgs.gov/earthquakes/eventpage/ci39623042,,2023-07-26 20:49:00 UTC,2023-07-26 20:49:00 UTC,35.784°N 117.611°W,9.98 km (6.20 mi),9.98,6.20,35.7835 -117.6108333,-9980,Past Day,Magnitude 2,Weak,None,ci,ci
