id,title,updated,link_href,num_of_reports,time_utc,time_utc_at_epicenter,location_coordinates,depth_string,depth_km,depth_mi,georss_point,georss_elev,cat_age,cat_mag,cat_mag_shaking,cat_mag_damage,cat_contributor,cat_author
urn:earthquake-usgs-gov:us:7000khmu,M 4.7 - South Sandwich Islands region,2023-07-22T15:51:37.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khmu,,2023-07-22 15:03:30 UTC,2023-07-22 15:03:30 UTC,57.942°S 25.376°W,56.33 km (35.00 mi),56.33,35.00,-57.9422 -25.3756,-56326,Past Hour,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:pr:2023203001,M 3.9 - Virgin Islands,2023-07-22T15:56:05.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr2023203001,,2023-07-22 14:00:43 UTC,2023-07-22 14:00:43 UTC,19.632°N 64.328°W,37.00 km (22.99 mi),37.00,22.99,19.632 -64.3275,-37000,Past Day,Magnitude 3,Weak,None,pr,pr
urn:earthquake-usgs-gov:pr:2023203000,M 3.6 - Puerto Rico region,2023-07-22T13:45:42.535Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr2023203000,,2023-07-22 12:59:39 UTC,2023-07-22 12:59:39 UTC,19.414°N 65.830°W,39.00 km (24.23 mi),39.00,24.23,19.4138 -65.83,-39000,Past Day,Magnitude 3,Weak,None,pr,pr
urn:earthquake-usgs-gov:ak:0239bxkgil,"M 3.4 - 126 km S of Unalaska, Alaska",2023-07-22T13:22:28.803Z,https://earthquake.usgs.gov/earthquakes/eventpage/ak0239bxkgil,,2023-07-22 12:55:04 UTC,2023-07-22 12:55:04 UTC,52.744°N 166.757°W,7.90 km (4.91 mi),7.90,4.91,52.7436 -166.7572,-7900,Past Day,Magnitude 3,Weak,None,ak,ak
urn:earthquake-usgs-gov:us:7000khm4,"M 4.9 - 30 km SSE of Saiki, Japan",2023-07-22T12:48:48.142Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khm4,2,2023-07-22 12:14:26 UTC,2023-07-22 12:14:26 UTC,32.682°N 131.975°E,27.10 km (16.84 mi),27.10,16.84,32.6817 131.975,-27103,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:nn:00863089,"M 2.5 - 1 km NNW of Empire, Nevada",2023-07-22T14:34:21.102Z,https://earthquake.usgs.gov/earthquakes/eventpage/nn00863089,,2023-07-22 11:57:41 UTC,2023-07-22 11:57:41 UTC,40.587°N 119.352°W,0.00 km (0.00 mi),0.00,0.00,40.5866 -119.3515,0,Past Day,Magnitude 2,Weak,None,nn,nn
urn:earthquake-usgs-gov:us:7000khly,"M 4.5 - 39 km SE of Malango, Solomon Islands",2023-07-22T13:43:40.663Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khly,1,2023-07-22 11:37:44 UTC,2023-07-22 11:37:44 UTC,9.950°S 159.971°E,16.82 km (10.45 mi),16.82,10.45,-9.9503 159.9707,-16817,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000khlf,"M 4.1 - 54 km WSW of Fārsān, Iran",2023-07-22T11:25:50.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khlf,,2023-07-22 10:54:47 UTC,2023-07-22 10:54:47 UTC,31.985°N 50.076°E,10.00 km (6.21 mi),10.00,6.21,31.9847 50.076,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000khlb,"M 4.0 - 18 km SE of Saimbeyli, Turkey",2023-07-22T11:12:21.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khlb,,2023-07-22 10:37:12 UTC,2023-07-22 10:37:12 UTC,37.863°N 36.236°E,10.00 km (6.21 mi),10.00,6.21,37.8628 36.236,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000khla,M 4.9 - northern Mid-Atlantic Ridge,2023-07-22T10:59:47.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khla,,2023-07-22 10:28:21 UTC,2023-07-22 10:28:21 UTC,30.551°N 41.862°W,10.00 km (6.21 mi),10.00,6.21,30.5505 -41.8616,-10000,Past Day,Magnitude 4,Light,None,us,us
