id,title,updated,link_href,num_of_reports,time_utc,time_utc_at_epicenter,location_coordinates,depth_string,depth_km,depth_mi,georss_point,georss_elev,cat_age,cat_mag,cat_mag_shaking,cat_mag_damage,cat_contributor,cat_author
urn:earthquake-usgs-gov:hv:73494227,"M 2.7 - 7 km SW of Volcano, Hawaii",2023-07-23T15:27:44.030Z,https://earthquake.usgs.gov/earthquakes/eventpage/hv73494227,,2023-07-23 15:22:13 UTC,2023-07-23 15:22:13 UTC,19.390°N 155.276°W,0.80 km (0.50 mi),0.80,0.50,19.3899993896484 -155.275665283203,-800.00001192093,Past Hour,Magnitude 2,Weak,None,hv,hv
urn:earthquake-usgs-gov:us:7000khtn,"M 2.5 - 37 km E of Kelly, Wyoming",2023-07-23T15:48:18.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khtn,,2023-07-23 14:25:26 UTC,2023-07-23 14:25:26 UTC,43.643°N 110.166°W,2.96 km (1.84 mi),2.96,1.84,43.6426 -110.1656,-2957,Past Day,Magnitude 2,Weak,None,us,us
urn:earthquake-usgs-gov:us:7000khtl,"M 4.5 - 183 km NW of Neiafu, Tonga",2023-07-23T14:47:17.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khtl,,2023-07-23 14:14:20 UTC,2023-07-23 14:14:20 UTC,17.323°S 175.020°W,275.72 km (171.32 mi),275.72,171.32,-17.3225 -175.0199,-275719,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000khtk,"M 4.5 - 53 km NNW of Tilichiki, Russia",2023-07-23T15:10:48.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khtk,,2023-07-23 14:13:53 UTC,2023-07-23 14:13:53 UTC,60.856°N 165.624°E,37.58 km (23.35 mi),37.58,23.35,60.8564 165.6237,-37575,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:ak:0239dlo1oz,M 2.7 - northern Alaska,2023-07-23T13:52:16.623Z,https://earthquake.usgs.gov/earthquakes/eventpage/ak0239dlo1oz,,2023-07-23 13:49:52 UTC,2023-07-23 13:49:52 UTC,69.120°N 144.340°W,5.90 km (3.67 mi),5.90,3.67,69.1203 -144.3399,-5900,Past Day,Magnitude 2,Weak,None,ak,ak
urn:earthquake-usgs-gov:us:7000khss,"M 5.1 - 94 km S of Jatiroto, Indonesia",2023-07-23T14:49:35.844Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khss,11,2023-07-23 12:33:28 UTC,2023-07-23 12:33:28 UTC,8.737°S 111.076°E,99.70 km (61.95 mi),99.70,61.95,-8.7373 111.0762,-99695,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:7000khsr,M 4.4 - Santa Cruz Islands,2023-07-23T12:34:08.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khsr,,2023-07-23 12:18:14 UTC,2023-07-23 12:18:14 UTC,12.439°S 167.087°E,242.45 km (150.65 mi),242.45,150.65,-12.4387 167.0866,-242448,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:pr:71418998,"M 2.8 - 2 km SSW of Adjuntas, Puerto Rico",2023-07-23T12:40:29.525Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr71418998,1,2023-07-23 12:12:49 UTC,2023-07-23 12:12:49 UTC,18.144°N 66.727°W,20.01 km (12.43 mi),20.01,12.43,18.1436666666667 -66.7268333333333,-20010,Past Day,Magnitude 2,Weak,None,pr,pr
urn:earthquake-usgs-gov:us:7000khsg,M 4.7 - northern Mid-Atlantic Ridge,2023-07-23T11:12:15.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khsg,,2023-07-23 10:55:59 UTC,2023-07-23 10:55:59 UTC,12.673°N 44.565°W,10.00 km (6.21 mi),10.00,6.21,12.6732 -44.5645,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000khse,M 4.0 - Central Turkey,2023-07-23T11:21:35.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khse,,2023-07-23 10:48:38 UTC,2023-07-23 10:48:38 UTC,38.157°N 37.146°E,10.00 km (6.21 mi),10.00,6.21,38.157 37.1457,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000khs9,M 4.1 - offshore El Salvador,2023-07-23T09:58:59.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khs9,,2023-07-23 09:47:43 UTC,2023-07-23 09:47:43 UTC,12.706°N 88.283°W,61.39 km (38.15 mi),61.39,38.15,12.7062 -88.2828,-61391,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:ak:0239dj7utg,"M 2.7 - 18 km W of Anchor Point, Alaska",2023-07-23T14:29:32.166Z,https://earthquake.usgs.gov/earthquakes/eventpage/ak0239dj7utg,1,2023-07-23 09:38:05 UTC,2023-07-23 09:38:05 UTC,59.795°N 152.165°W,70.30 km (43.68 mi),70.30,43.68,59.7951 -152.1652,-70300,Past Day,Magnitude 2,Weak,None,ak,ak
urn:earthquake-usgs-gov:pr:2023204000,"M 3.6 - 0 km ENE of Pájaros, Puerto Rico",2023-07-23T10:34:18.210Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr2023204000,1,2023-07-23 09:00:59 UTC,2023-07-23 09:00:59 UTC,18.372°N 66.209°W,112.00 km (69.59 mi),112.00,69.59,18.3716 -66.2093,-112000,Past Day,Magnitude 3,Weak,None,pr,pr
urn:earthquake-usgs-gov:pr:71418963,M 3.2 - Puerto Rico region,2023-07-23T08:50:04.590Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr71418963,,2023-07-23 08:29:52 UTC,2023-07-23 08:29:52 UTC,18.886°N 67.528°W,3.64 km (2.26 mi),3.64,2.26,18.8858333333333 -67.528,-3640,Past Day,Magnitude 3,Weak,None,pr,pr
