id,title,updated,link_href,num_of_reports,time_utc,time_utc_at_epicenter,location_coordinates,depth_string,depth_km,depth_mi,georss_point,georss_elev,cat_age,cat_mag,cat_mag_shaking,cat_mag_damage,cat_contributor,cat_author
urn:earthquake-usgs-gov:ak:0239iecybc,"M 2.9 - 139 km N of Nelson Lagoon, Alaska",2023-07-26T03:58:09.209Z,https://earthquake.usgs.gov/earthquakes/eventpage/ak0239iecybc,,2023-07-26 03:55:11 UTC,2023-07-26 03:55:11 UTC,57.237°N 160.885°W,14.90 km (9.26 mi),14.90,9.26,57.2367 -160.8849,-14900,Past Hour,Magnitude 2,Weak,None,ak,ak
urn:earthquake-usgs-gov:pr:71419288,M 3.4 - Virgin Islands region,2023-07-26T03:07:28.480Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr71419288,,2023-07-26 02:57:50 UTC,2023-07-26 02:57:50 UTC,19.004°N 65.071°W,15.38 km (9.56 mi),15.38,9.56,19.0035 -65.0706666666667,-15380,Past Day,Magnitude 3,Weak,None,pr,pr
urn:earthquake-usgs-gov:us:6000kvkf,"M 4.7 - off the coast of Chiapas, Mexico",2023-07-26T02:30:53.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvkf,,2023-07-26 02:02:42 UTC,2023-07-26 02:02:42 UTC,14.776°N 94.028°W,35.00 km (21.75 mi),35.00,21.75,14.7756 -94.0275,-35000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:pr:71419268,"M 2.8 - 6 km SSE of Maria Antonia, Puerto Rico",2023-07-26T00:28:22.290Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr71419268,,2023-07-26 00:17:12 UTC,2023-07-26 00:17:12 UTC,17.924°N 66.877°W,14.54 km (9.03 mi),14.54,9.03,17.9243333333333 -66.8771666666667,-14540,Past Day,Magnitude 2,Weak,None,pr,pr
urn:earthquake-usgs-gov:us:6000kvju,"M 3.1 - 19 km SW of Eunice, New Mexico",2023-07-26T03:00:15.080Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvju,1,2023-07-25 23:15:32 UTC,2023-07-25 23:15:32 UTC,32.291°N 103.279°W,1.19 km (0.74 mi),1.19,0.74,32.2911 -103.2792,-1190,Past Day,Magnitude 3,Weak,None,us,us
urn:earthquake-usgs-gov:us:6000kvjr,"M 4.9 - Pagan region, Northern Mariana Islands",2023-07-25T22:41:25.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvjr,,2023-07-25 22:26:31 UTC,2023-07-25 22:26:31 UTC,18.068°N 146.523°E,61.14 km (37.99 mi),61.14,37.99,18.0681 146.5227,-61143,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:hv:73497232,"M 2.6 - 9 km SE of Volcano, Hawaii",2023-07-25T21:08:23.730Z,https://earthquake.usgs.gov/earthquakes/eventpage/hv73497232,,2023-07-25 20:47:53 UTC,2023-07-25 20:47:53 UTC,19.375°N 155.172°W,27.73 km (17.23 mi),27.73,17.23,19.3751666666667 -155.172,-27730,Past Day,Magnitude 2,Weak,None,hv,hv
urn:earthquake-usgs-gov:us:6000kvis,M 5.0 - Solomon Islands,2023-07-25T19:49:14.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvis,,2023-07-25 19:30:07 UTC,2023-07-25 19:30:07 UTC,11.098°S 163.051°E,45.61 km (28.34 mi),45.61,28.34,-11.0978 163.0509,-45609,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:ci:39621810,"M 2.5 - 13km SSW of Searles Valley, CA",2023-07-25T20:47:15.350Z,https://earthquake.usgs.gov/earthquakes/eventpage/ci39621810,,2023-07-25 18:52:15 UTC,2023-07-25 18:52:15 UTC,35.670°N 117.484°W,6.34 km (3.94 mi),6.34,3.94,35.6695 -117.4838333,-6340,Past Day,Magnitude 2,Weak,None,ci,ci
urn:earthquake-usgs-gov:us:7000ki9d,"M 5.1 - 144 km WNW of Tobelo, Indonesia",2023-07-25T15:52:26.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki9d,,2023-07-25 15:35:05 UTC,2023-07-25 15:35:05 UTC,2.258°N 126.822°E,54.24 km (33.71 mi),54.24,33.71,2.2578 126.8221,-54244,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:7000ki98,"M 3.8 - 88 km SE of King Cove, Alaska",2023-07-25T16:46:38.285Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki98,,2023-07-25 15:31:32 UTC,2023-07-25 15:31:32 UTC,54.604°N 161.193°W,41.13 km (25.55 mi),41.13,25.55,54.6043 -161.1932,-41126,Past Day,Magnitude 3,Weak,None,us,us
urn:earthquake-usgs-gov:us:6000kvhw,"M 4.6 - 6 km W of Locumba, Peru",2023-07-25T16:36:47.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kvhw,,2023-07-25 14:40:51 UTC,2023-07-25 14:40:51 UTC,17.622°S 70.827°W,30.63 km (19.03 mi),30.63,19.03,-17.6222 -70.8271,-30630,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000ki7m,"M 4.7 - 115 km NW of Batang, Indonesia",2023-07-25T14:20:57.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki7m,,2023-07-25 13:56:24 UTC,2023-07-25 13:56:24 UTC,5.640°S 110.097°E,553.11 km (343.68 mi),553.11,343.68,-5.6402 110.097,-553106,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000ki7j,M 4.9 - east of the Kuril Islands,2023-07-25T14:13:58.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki7j,,2023-07-25 13:51:43 UTC,2023-07-25 13:51:43 UTC,47.898°N 155.343°E,10.00 km (6.21 mi),10.00,6.21,47.8977 155.3432,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:ci:39621490,"M 3.1 - 87km ESE of Maneadero, B.C., MX",2023-07-25T17:39:50.816Z,https://earthquake.usgs.gov/earthquakes/eventpage/ci39621490,,2023-07-25 13:06:15 UTC,2023-07-25 13:06:15 UTC,31.545°N 115.675°W,6.45 km (4.01 mi),6.45,4.01,31.545 -115.675,-6450,Past Day,Magnitude 3,Weak,None,ci,ci
urn:earthquake-usgs-gov:us:7000ki6w,"M 4.7 - 6 km NW of Colbún, Chile",2023-07-25T11:29:59.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki6w,,2023-07-25 11:13:04 UTC,2023-07-25 11:13:04 UTC,35.644°S 71.451°W,93.78 km (58.27 mi),93.78,58.27,-35.6438 -71.4505,-93778,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000ki6k,"M 5.6 - Alamagan region, Northern Mariana Islands",2023-07-25T23:52:28.890Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki6k,7,2023-07-25 10:35:18 UTC,2023-07-25 10:35:18 UTC,17.146°N 145.503°E,373.26 km (231.93 mi),373.26,231.93,17.1456 145.503,-373258,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:7000ki6l,M 4.2 - southern Iran,2023-07-25T12:19:40.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki6l,,2023-07-25 10:23:35 UTC,2023-07-25 10:23:35 UTC,27.145°N 53.452°E,10.00 km (6.21 mi),10.00,6.21,27.1449 53.4523,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000ki62,"M 4.4 - Kepulauan Babar, Indonesia",2023-07-25T08:36:11.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki62,,2023-07-25 07:45:27 UTC,2023-07-25 07:45:27 UTC,7.228°S 129.007°E,146.27 km (90.89 mi),146.27,90.89,-7.2281 129.0068,-146267,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000ki65,"M 3.7 - Andreanof Islands, Aleutian Islands, Alaska",2023-07-25T17:23:02.570Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki65,,2023-07-25 07:17:19 UTC,2023-07-25 07:17:19 UTC,51.207°N 179.155°W,27.02 km (16.79 mi),27.02,16.79,51.2068 -179.1554,-27020,Past Day,Magnitude 3,Weak,None,us,us
urn:earthquake-usgs-gov:us:7000ki5v,M 4.3 - El Salvador,2023-07-25T12:34:43.334Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki5v,1,2023-07-25 05:49:31 UTC,2023-07-25 05:49:31 UTC,13.015°N 89.192°W,64.52 km (40.09 mi),64.52,40.09,13.0153 -89.1916,-64517,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000ki5u,M 5.5 - Central Turkey,2023-07-25T23:56:22.925Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki5u,29,2023-07-25 05:44:50 UTC,2023-07-25 05:44:50 UTC,37.583°N 35.957°E,10.00 km (6.21 mi),10.00,6.21,37.5831 35.9568,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:7000ki5p,M 4.8 - South Sandwich Islands region,2023-07-25T05:28:25.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ki5p,,2023-07-25 05:11:28 UTC,2023-07-25 05:11:28 UTC,59.570°S 26.152°W,72.55 km (45.08 mi),72.55,45.08,-59.5698 -26.1521,-72548,Past Day,Magnitude 4,Light,None,us,us
