id,title,updated,link_href,num_of_reports,time_utc,time_utc_at_epicenter,location_coordinates,depth_string,depth_km,depth_mi,georss_point,georss_elev,cat_age,cat_mag,cat_mag_shaking,cat_mag_damage,cat_contributor,cat_author
urn:earthquake-usgs-gov:us:7000khyv,M 4.5 - south of the Fiji Islands,2023-07-24T14:46:59.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khyv,,2023-07-24 13:02:18 UTC,2023-07-24 13:02:18 UTC,24.118°S 178.756°E,565.94 km (351.66 mi),565.94,351.66,-24.1184 178.7558,-565941,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:pr:2023205001,M 3.7 - Puerto Rico region,2023-07-24T13:10:05.361Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr2023205001,,2023-07-24 12:40:41 UTC,2023-07-24 12:40:41 UTC,19.677°N 66.067°W,33.00 km (20.51 mi),33.00,20.51,19.6771 -66.0668,-33000,Past Day,Magnitude 3,Weak,None,pr,pr
urn:earthquake-usgs-gov:us:7000khyj,"M 4.5 - 56 km S of Sand Point, Alaska",2023-07-24T15:42:37.729Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khyj,1,2023-07-24 12:04:19 UTC,2023-07-24 12:04:19 UTC,54.839°N 160.641°W,42.73 km (26.55 mi),42.73,26.55,54.8386 -160.641,-42729,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:ak:0239f7yabe,"M 3.0 - 56 km E of Chenega, Alaska",2023-07-24T11:50:01.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/ak0239f7yabe,,2023-07-24 11:39:05 UTC,2023-07-24 11:39:05 UTC,60.163°N 147.019°W,9.40 km (5.84 mi),9.40,5.84,60.1626 -147.0186,-9400,Past Day,Magnitude 3,Weak,None,ak,ak
urn:earthquake-usgs-gov:nc:73916121,"M 3.1 - 9 km W of Rio Dell, CA",2023-07-24T15:38:24.457Z,https://earthquake.usgs.gov/earthquakes/eventpage/nc73916121,31,2023-07-24 10:47:11 UTC,2023-07-24 10:47:11 UTC,40.493°N 124.209°W,20.98 km (13.04 mi),20.98,13.04,40.4925003 -124.2093353,-20980,Past Day,Magnitude 3,Weak,None,nc,nc
urn:earthquake-usgs-gov:pr:71419138,"M 2.7 - 0 km SW of Indios, Puerto Rico",2023-07-24T09:47:13.710Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr71419138,,2023-07-24 09:35:46 UTC,2023-07-24 09:35:46 UTC,17.987°N 66.825°W,12.29 km (7.64 mi),12.29,7.64,17.9873333333333 -66.8253333333333,-12290,Past Day,Magnitude 2,Weak,None,pr,pr
urn:earthquake-usgs-gov:pr:71419128,"M 3.3 - 61 km WSW of Stella, Puerto Rico",2023-07-24T08:47:11.970Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr71419128,,2023-07-24 08:32:08 UTC,2023-07-24 08:32:08 UTC,18.134°N 67.797°W,135.65 km (84.29 mi),135.65,84.29,18.134 -67.7973333333333,-135650,Past Day,Magnitude 3,Weak,None,pr,pr
urn:earthquake-usgs-gov:us:7000khxt,"M 4.9 - 29 km ENE of Machalí, Chile",2023-07-24T08:52:59.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khxt,,2023-07-24 08:24:06 UTC,2023-07-24 08:24:06 UTC,34.046°S 70.369°W,3.30 km (2.05 mi),3.30,2.05,-34.0455 -70.3686,-3300,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:ci:39620202,"M 3.0 - 12km WSW of Delta, B.C., MX",2023-07-24T15:24:59.590Z,https://earthquake.usgs.gov/earthquakes/eventpage/ci39620202,,2023-07-24 07:31:02 UTC,2023-07-24 07:31:02 UTC,32.320°N 115.315°W,11.29 km (7.02 mi),11.29,7.02,32.3203333 -115.315,-11290,Past Day,Magnitude 3,Weak,None,ci,ci
urn:earthquake-usgs-gov:us:7000khxb,"M 4.4 - near the east coast of Honshu, Japan",2023-07-24T12:03:26.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khxb,,2023-07-24 06:37:00 UTC,2023-07-24 06:37:00 UTC,38.325°N 141.612°E,70.57 km (43.85 mi),70.57,43.85,38.3246 141.6123,-70571,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:7000khx4,"M 3.2 - 4 km SE of Lincoln, New Zealand",2023-07-24T14:04:07.660Z,https://earthquake.usgs.gov/earthquakes/eventpage/us7000khx4,4,2023-07-24 05:43:12 UTC,2023-07-24 05:43:12 UTC,43.679°S 172.519°E,16.69 km (10.37 mi),16.69,10.37,-43.6792 172.5185,-16691,Past Day,Magnitude 3,Weak,None,us,us
